rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/lib.rs,83,1,0,0,2,1.0,1.0,inf,pub fn demangle(mut s: &str) -> Demangle {
2,src/lib.rs,87,1,0,0,2,1.0,1.0,inf,"let llvm = "".llvm."";"
3,src/lib.rs,88,1,0,0,2,1.0,1.0,inf,if let Some(i) = s.find(llvm) {
4,src/lib.rs,100,1,0,0,2,1.0,1.0,inf,}
5,src/lib.rs,105,1,0,0,2,1.0,1.0,inf,let mut valid = true;
6,src/lib.rs,106,1,0,0,2,1.0,1.0,inf,let mut inner = s;
7,src/lib.rs,107,1,0,0,2,1.0,1.0,inf,"if s.len() > 4 && s.starts_with(""_ZN"") && s.ends_with('E') {"
8,src/lib.rs,108,1,0,0,2,1.0,1.0,inf,inner = &s[3..s.len() - 1];
9,src/lib.rs,120,1,0,0,2,1.0,1.0,inf,let mut elements = 0;
10,src/lib.rs,121,1,0,0,2,1.0,1.0,inf,if valid {
11,src/lib.rs,122,1,0,0,2,1.0,1.0,inf,let mut chars = inner.chars();
12,src/lib.rs,123,1,0,0,2,1.0,1.0,inf,while valid {
13,src/lib.rs,124,1,0,0,2,1.0,1.0,inf,let mut i = 0;
14,src/lib.rs,125,1,0,0,2,1.0,1.0,inf,for c in chars.by_ref() {
15,src/lib.rs,126,1,0,0,2,1.0,1.0,inf,if c.is_digit(10) {
16,src/lib.rs,129,1,0,0,2,1.0,1.0,inf,break;
17,src/lib.rs,132,1,0,0,2,1.0,1.0,inf,if i == 0 {
18,src/lib.rs,133,1,0,0,2,1.0,1.0,inf,valid = chars.next().is_none();
19,src/lib.rs,134,1,0,0,2,1.0,1.0,inf,break;
20,src/lib.rs,143,1,0,0,2,1.0,1.0,inf,Demangle {
21,src/lib.rs,144,1,0,0,2,1.0,1.0,inf,"inner: inner,"
22,src/lib.rs,145,1,0,0,2,1.0,1.0,inf,"valid: valid,"
23,src/lib.rs,149,1,0,0,2,1.0,1.0,inf,}
24,src/lib.rs,89,0,0,1,2,0.0,0.0,0.0,let candidate = &s[i + llvm.len()..];
25,src/lib.rs,90,0,0,1,2,0.0,0.0,0.0,let all_hex = candidate.chars().all(|c| {
26,src/lib.rs,91,0,0,1,2,0.0,0.0,0.0,match c {
27,src/lib.rs,92,0,0,1,2,0.0,0.0,0.0,"'A' ... 'F' | '0' ... '9' => true,"
28,src/lib.rs,93,0,0,1,2,0.0,0.0,0.0,"_ => false,"
29,src/lib.rs,95,0,0,1,2,0.0,0.0,0.0,});
30,src/lib.rs,97,0,0,1,2,0.0,0.0,0.0,if all_hex {
31,src/lib.rs,99,0,0,1,2,0.0,0.0,0.0,}
32,src/lib.rs,109,0,0,1,2,0.0,0.0,0.0,"} else if s.len() > 3 && s.starts_with(""ZN"") && s.ends_with('E') {"
33,src/lib.rs,112,0,0,1,2,0.0,0.0,0.0,inner = &s[2..s.len() - 1];
34,src/lib.rs,113,0,0,1,2,0.0,0.0,0.0,"} else if s.len() > 5 && s.starts_with(""__ZN"") && s.ends_with('E') {"
35,src/lib.rs,115,0,0,1,2,0.0,0.0,0.0,inner = &s[4..s.len() - 1];
36,src/lib.rs,116,0,0,1,2,0.0,0.0,0.0,} else {
37,src/lib.rs,135,0,0,1,2,0.0,0.0,0.0,} else if chars.by_ref().take(i - 1).count() != i - 1 {
38,src/lib.rs,137,0,0,1,2,0.0,0.0,0.0,} else {
39,src/lib.rs,141,0,0,1,2,0.0,0.0,0.0,}
40,src/lib.rs,171,0,0,1,2,0.0,0.0,0.0,"pub fn try_demangle(s: &str) -> Result<Demangle, TryDemangleError> {"
41,src/lib.rs,172,0,0,1,2,0.0,0.0,0.0,let sym = demangle(s);
42,src/lib.rs,173,0,0,1,2,0.0,0.0,0.0,if sym.valid {
43,src/lib.rs,174,0,0,1,2,0.0,0.0,0.0,Ok(sym)
44,src/lib.rs,176,0,0,1,2,0.0,0.0,0.0,Err(TryDemangleError { _priv: () })
45,src/lib.rs,178,0,0,1,2,0.0,0.0,0.0,}
46,src/lib.rs,182,0,0,1,2,0.0,0.0,0.0,pub fn as_str(&self) -> &'a str {
47,src/lib.rs,183,0,0,1,2,0.0,0.0,0.0,self.original
48,src/lib.rs,184,0,0,1,2,0.0,0.0,0.0,}
49,src/lib.rs,188,0,0,1,2,0.0,0.0,0.0,fn is_rust_hash(s: &str) -> bool {
50,src/lib.rs,189,0,0,1,2,0.0,0.0,0.0,s.starts_with('h') && s[1..].chars().all(|c| c.is_digit(16))
51,src/lib.rs,190,0,0,1,2,0.0,0.0,0.0,}
52,src/lib.rs,193,0,0,1,2,0.0,0.0,0.0,"fn fmt(&self, f: &mut fmt::Formatter) -> fmt::Result {"
