rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,crates/toml_edit/src/encode.rs,255,1,0,0,2,1.0,1.0,inf,)?;
2,crates/toml_edit/src/parser/state.rs,48,1,0,0,2,1.0,1.0,inf,&mut kv.key
3,crates/toml_edit/src/raw_string.rs,36,1,0,0,2,1.0,1.0,inf,RawStringInner::Spanned(span) => input.get(span.clone()).unwrap_or_else(|| {
4,crates/toml_edit/src/raw_string.rs,37,1,0,0,2,1.0,1.0,inf,"panic!(""span {:?} should be in input:\n```\n{}\n```"", span, input)"
5,crates/toml_edit/src/table.rs,386,1,0,0,2,1.0,1.0,inf,"pub fn insert_formatted(&mut self, key: &Key, item: Item) -> Option<Item> {"
6,crates/toml_edit/src/table.rs,387,1,0,0,2,1.0,1.0,inf,"let kv = TableKeyValue::new(key.to_owned(), item);"
7,crates/toml_edit/src/table.rs,388,1,0,0,2,1.0,1.0,inf,"self.items.insert(key.get().into(), kv).map(|kv| kv.value)"
8,crates/toml_edit/src/table.rs,389,1,0,0,2,1.0,1.0,inf,}
9,crates/toml_edit/src/document.rs,19,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub fn new() -> Self {
10,crates/toml_edit/src/document.rs,20,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,Default::default()
11,crates/toml_edit/src/document.rs,21,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
12,crates/toml_edit/src/document.rs,34,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub fn as_table(&self) -> &Table {
13,crates/toml_edit/src/document.rs,35,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.root.as_table().expect(""root should always be a table"")"
14,crates/toml_edit/src/document.rs,36,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
15,crates/toml_edit/src/document.rs,39,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub fn as_table_mut(&mut self) -> &mut Table {
16,crates/toml_edit/src/document.rs,40,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.root
17,crates/toml_edit/src/document.rs,41,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,.as_table_mut()
18,crates/toml_edit/src/document.rs,43,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
19,crates/toml_edit/src/document.rs,63,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub(crate) fn despan(&mut self) {
20,crates/toml_edit/src/document.rs,64,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.span = None;
21,crates/toml_edit/src/document.rs,65,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.root.despan(self.original.as_deref().unwrap());
22,crates/toml_edit/src/document.rs,66,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.trailing.despan(self.original.as_deref().unwrap());
23,crates/toml_edit/src/document.rs,67,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
24,crates/toml_edit/src/document.rs,71,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn default() -> Self {
25,crates/toml_edit/src/document.rs,72,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,Self {
26,crates/toml_edit/src/document.rs,73,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"root: Item::Table(Table::with_pos(Some(0))),"
27,crates/toml_edit/src/document.rs,74,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"trailing: Default::default(),"
28,crates/toml_edit/src/document.rs,78,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
29,crates/toml_edit/src/document.rs,85,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"fn from_str(s: &str) -> Result<Self, Self::Err> {"
30,crates/toml_edit/src/document.rs,86,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut d = parser::parse_document(s)?;
31,crates/toml_edit/src/document.rs,87,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,d.despan();
32,crates/toml_edit/src/document.rs,88,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,Ok(d)
33,crates/toml_edit/src/document.rs,89,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
34,crates/toml_edit/src/encode.rs,26,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn encode(
35,crates/toml_edit/src/encode.rs,32,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let decor = self.decor();
