rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,crates/toml_edit/src/parser/numbers.rs,186,1,1,0,4,0.8333333333333334,0.7071067811865475,1.0,from_utf8_unchecked(
2,crates/toml_edit/src/parser/numbers.rs,187,1,1,0,4,0.8333333333333334,0.7071067811865475,1.0,"b,"
3,crates/toml_edit/src/parser/numbers.rs,190,1,1,0,4,0.8333333333333334,0.7071067811865475,1.0,})
4,crates/toml_edit/src/parser/numbers.rs,156,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"pub(crate) fn float(input: Input<'_>) -> IResult<Input<'_>, f64, ParserError<'_>> {"
5,crates/toml_edit/src/parser/numbers.rs,157,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,alt((
6,crates/toml_edit/src/parser/numbers.rs,158,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"float_.map_res(|s| s.replace('_', """").parse()),"
7,crates/toml_edit/src/parser/numbers.rs,161,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,".context(Context::Expression(""floating-point number""))"
8,crates/toml_edit/src/parser/numbers.rs,162,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.parse(input)
9,crates/toml_edit/src/parser/numbers.rs,163,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,}
10,crates/toml_edit/src/parser/numbers.rs,165,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"pub(crate) fn float_(input: Input<'_>) -> IResult<Input<'_>, &str, ParserError<'_>> {"
11,crates/toml_edit/src/parser/numbers.rs,166,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"(dec_int, alt((exp, (frac, opt(exp)).map(|_| """"))))"
12,crates/toml_edit/src/parser/numbers.rs,167,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.recognize()
13,crates/toml_edit/src/parser/numbers.rs,168,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.map(|b: &[u8]| unsafe {
14,crates/toml_edit/src/parser/numbers.rs,169,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,from_utf8_unchecked(
15,crates/toml_edit/src/parser/numbers.rs,170,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"b,"
16,crates/toml_edit/src/parser/numbers.rs,173,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,})
17,crates/toml_edit/src/parser/numbers.rs,174,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.parse(input)
18,crates/toml_edit/src/parser/numbers.rs,175,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,}
19,crates/toml_edit/src/parser/numbers.rs,179,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"pub(crate) fn frac(input: Input<'_>) -> IResult<Input<'_>, &str, ParserError<'_>> {"
20,crates/toml_edit/src/parser/numbers.rs,180,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,(
21,crates/toml_edit/src/parser/numbers.rs,182,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"cut(zero_prefixable_int).context(Context::Expected(ParserValue::Description(""digit""))),"
22,crates/toml_edit/src/parser/numbers.rs,184,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.recognize()
23,crates/toml_edit/src/parser/numbers.rs,185,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.map(|b: &[u8]| unsafe {
24,crates/toml_edit/src/parser/numbers.rs,191,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.parse(input)
25,crates/toml_edit/src/parser/numbers.rs,192,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,}
26,crates/toml_edit/src/parser/numbers.rs,195,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"pub(crate) fn zero_prefixable_int(input: Input<'_>) -> IResult<Input<'_>, &str, ParserError<'_>> {"
27,crates/toml_edit/src/parser/numbers.rs,196,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,(
28,crates/toml_edit/src/parser/numbers.rs,198,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,many0_count(alt((
29,crates/toml_edit/src/parser/numbers.rs,199,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"digit.value(()),"
30,crates/toml_edit/src/parser/numbers.rs,200,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,(
31,crates/toml_edit/src/parser/numbers.rs,201,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"one_of(b'_'),"
32,crates/toml_edit/src/parser/numbers.rs,202,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"cut(digit).context(Context::Expected(ParserValue::Description(""digit""))),"
33,crates/toml_edit/src/parser/numbers.rs,207,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.recognize()
34,crates/toml_edit/src/parser/numbers.rs,208,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,".map(|b: &[u8]| unsafe { from_utf8_unchecked(b, ""`digit` and `_` filter out non-ASCII"") })"
35,crates/toml_edit/src/parser/numbers.rs,209,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.parse(input)
36,crates/toml_edit/src/parser/numbers.rs,210,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,}
37,crates/toml_edit/src/parser/numbers.rs,214,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"pub(crate) fn exp(input: Input<'_>) -> IResult<Input<'_>, &str, ParserError<'_>> {"
38,crates/toml_edit/src/parser/numbers.rs,215,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,(
39,crates/toml_edit/src/parser/numbers.rs,216,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"one_of((b'e', b'E')),"
40,crates/toml_edit/src/parser/numbers.rs,217,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"opt(one_of([b'+', b'-'])),"
41,crates/toml_edit/src/parser/numbers.rs,220,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.recognize()
42,crates/toml_edit/src/parser/numbers.rs,221,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.map(|b: &[u8]| unsafe {
43,crates/toml_edit/src/parser/numbers.rs,222,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,from_utf8_unchecked(
44,crates/toml_edit/src/parser/numbers.rs,223,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,"b,"
45,crates/toml_edit/src/parser/numbers.rs,226,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,})
46,crates/toml_edit/src/parser/numbers.rs,227,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,.parse(input)
47,crates/toml_edit/src/parser/numbers.rs,228,1,2,0,3,0.7142857142857143,0.5773502691896258,0.5,}
48,crates/toml_edit/src/parser/errors.rs,158,1,3,0,2,0.625,0.5,0.3333333333333333,"fn append(_input: Input<'b>, _kind: nom8::error::ErrorKind, other: Self) -> Self {"
49,crates/toml_edit/src/parser/errors.rs,159,1,3,0,2,0.625,0.5,0.3333333333333333,other
50,crates/toml_edit/src/parser/errors.rs,160,1,3,0,2,0.625,0.5,0.3333333333333333,}
51,crates/toml_edit/src/parser/numbers.rs,49,1,3,0,2,0.625,0.5,0.3333333333333333,"pub(crate) fn dec_int(input: Input<'_>) -> IResult<Input<'_>, &str, ParserError<'_>> {"
52,crates/toml_edit/src/parser/numbers.rs,50,1,3,0,2,0.625,0.5,0.3333333333333333,(
53,crates/toml_edit/src/parser/numbers.rs,51,1,3,0,2,0.625,0.5,0.3333333333333333,"opt(one_of((b'+', b'-'))),"
54,crates/toml_edit/src/parser/numbers.rs,52,1,3,0,2,0.625,0.5,0.3333333333333333,alt((
55,crates/toml_edit/src/parser/numbers.rs,53,1,3,0,2,0.625,0.5,0.3333333333333333,(
56,crates/toml_edit/src/parser/numbers.rs,54,1,3,0,2,0.625,0.5,0.3333333333333333,"one_of(DIGIT1_9),"
57,crates/toml_edit/src/parser/numbers.rs,55,1,3,0,2,0.625,0.5,0.3333333333333333,many0_count(alt((
58,crates/toml_edit/src/parser/numbers.rs,56,1,3,0,2,0.625,0.5,0.3333333333333333,"digit.value(()),"
59,crates/toml_edit/src/parser/numbers.rs,57,1,3,0,2,0.625,0.5,0.3333333333333333,(
60,crates/toml_edit/src/parser/numbers.rs,58,1,3,0,2,0.625,0.5,0.3333333333333333,"one_of(b'_'),"
61,crates/toml_edit/src/parser/numbers.rs,59,1,3,0,2,0.625,0.5,0.3333333333333333,"cut(digit).context(Context::Expected(ParserValue::Description(""digit""))),"
62,crates/toml_edit/src/parser/numbers.rs,64,1,3,0,2,0.625,0.5,0.3333333333333333,".value(()),"
63,crates/toml_edit/src/parser/numbers.rs,68,1,3,0,2,0.625,0.5,0.3333333333333333,.recognize()
64,crates/toml_edit/src/parser/numbers.rs,69,1,3,0,2,0.625,0.5,0.3333333333333333,".map(|b: &[u8]| unsafe { from_utf8_unchecked(b, ""`digit` and `_` filter out non-ASCII"") })"
65,crates/toml_edit/src/parser/numbers.rs,70,1,3,0,2,0.625,0.5,0.3333333333333333,".context(Context::Expression(""integer""))"
66,crates/toml_edit/src/parser/numbers.rs,71,1,3,0,2,0.625,0.5,0.3333333333333333,.parse(input)
67,crates/toml_edit/src/parser/numbers.rs,72,1,3,0,2,0.625,0.5,0.3333333333333333,}
68,crates/toml_edit/src/parser/numbers.rs,252,1,3,0,2,0.625,0.5,0.3333333333333333,"pub(crate) fn digit(input: Input<'_>) -> IResult<Input<'_>, u8, ParserError<'_>> {"
69,crates/toml_edit/src/parser/numbers.rs,253,1,3,0,2,0.625,0.5,0.3333333333333333,one_of(DIGIT).parse(input)
70,crates/toml_edit/src/parser/numbers.rs,254,1,3,0,2,0.625,0.5,0.3333333333333333,}
71,crates/toml_edit/src/parser/errors.rs,166,1,4,0,1,0.5555555555555556,0.4472135954999579,0.25,"fn or(self, other: Self) -> Self {"
72,crates/toml_edit/src/parser/errors.rs,167,1,4,0,1,0.5555555555555556,0.4472135954999579,0.25,other
73,crates/toml_edit/src/parser/errors.rs,168,1,4,0,1,0.5555555555555556,0.4472135954999579,0.25,}
74,crates/toml_edit/src/parser/errors.rs,150,1,5,0,0,0.5,0.4082482904638631,0.2,"fn from_error_kind(input: Input<'b>, _kind: nom8::error::ErrorKind) -> Self {"
75,crates/toml_edit/src/parser/errors.rs,151,1,5,0,0,0.5,0.4082482904638631,0.2,Self {
76,crates/toml_edit/src/parser/errors.rs,152,1,5,0,0,0.5,0.4082482904638631,0.2,"input,"
77,crates/toml_edit/src/parser/errors.rs,156,1,5,0,0,0.5,0.4082482904638631,0.2,}
78,crates/toml_edit/src/parser/mod.rs,90,1,5,0,0,0.5,0.4082482904638631,0.2,pub(crate) fn new_input(s: &str) -> Input<'_> {
79,crates/toml_edit/src/parser/mod.rs,91,1,5,0,0,0.5,0.4082482904638631,0.2,nom8::input::Located::new(s.as_bytes())
80,crates/toml_edit/src/parser/mod.rs,92,1,5,0,0,0.5,0.4082482904638631,0.2,}
81,crates/toml_edit/src/parser/trivia.rs,16,1,5,0,0,0.5,0.4082482904638631,0.2,pub(crate) unsafe fn from_utf8_unchecked<'b>(
82,crates/toml_edit/src/parser/trivia.rs,20,1,5,0,0,0.5,0.4082482904638631,0.2,if cfg!(debug_assertions) {
83,crates/toml_edit/src/parser/trivia.rs,22,1,5,0,0,0.5,0.4082482904638631,0.2,std::str::from_utf8(bytes).expect(safety_justification)
84,crates/toml_edit/src/parser/trivia.rs,26,1,5,0,0,0.5,0.4082482904638631,0.2,}
85,crates/toml_edit/src/array.rs,41,0,0,1,5,0.0,0.0,0.0,pub fn new() -> Self {
86,crates/toml_edit/src/array.rs,42,0,0,1,5,0.0,0.0,0.0,Default::default()
87,crates/toml_edit/src/array.rs,43,0,0,1,5,0.0,0.0,0.0,}
88,crates/toml_edit/src/array.rs,45,0,2,1,3,0.0,0.0,0.0,pub(crate) fn with_vec(values: Vec<Item>) -> Self {
89,crates/toml_edit/src/array.rs,46,0,2,1,3,0.0,0.0,0.0,Self {
