rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/parser/errors.rs,31,1,0,0,2,1.0,1.0,inf,pub(crate) fn custom(message: String) -> Self {
2,src/parser/errors.rs,32,1,0,0,2,1.0,1.0,inf,Self {
3,src/parser/errors.rs,36,1,0,0,2,1.0,1.0,inf,}
4,src/parser/errors.rs,59,1,0,0,2,1.0,1.0,inf,"fn fmt(&self, f: &mut Formatter<'_>) -> Result {"
5,src/parser/errors.rs,60,1,0,0,2,1.0,1.0,inf,"write!(f, ""{}"", self.message)"
6,src/parser/errors.rs,61,1,0,0,2,1.0,1.0,inf,}
7,src/ser/key.rs,93,1,0,0,2,1.0,1.0,inf,fn serialize_unit_variant(
8,src/ser/key.rs,99,1,0,0,2,1.0,1.0,inf,Err(ErrorKind::KeyNotString.into())
9,src/ser/key.rs,100,1,0,0,2,1.0,1.0,inf,}
10,src/ser/mod.rs,45,1,0,0,2,1.0,1.0,inf,"fn fmt(&self, formatter: &mut std::fmt::Formatter) -> std::fmt::Result {"
11,src/ser/mod.rs,46,1,0,0,2,1.0,1.0,inf,self.kind.fmt(formatter)
12,src/ser/mod.rs,47,1,0,0,2,1.0,1.0,inf,}
13,src/ser/mod.rs,57,1,0,0,2,1.0,1.0,inf,fn from(e: Error) -> crate::TomlError {
14,src/ser/mod.rs,58,1,0,0,2,1.0,1.0,inf,Self::custom(e.to_string())
15,src/ser/mod.rs,59,1,0,0,2,1.0,1.0,inf,}
16,src/ser/mod.rs,65,1,0,0,2,1.0,1.0,inf,fn from(kind: ErrorKind) -> Self {
17,src/ser/mod.rs,66,1,0,0,2,1.0,1.0,inf,Self { kind }
18,src/ser/mod.rs,67,1,0,0,2,1.0,1.0,inf,}
19,src/ser/mod.rs,79,1,0,0,2,1.0,1.0,inf,"fn fmt(&self, formatter: &mut std::fmt::Formatter) -> std::fmt::Result {"
20,src/ser/mod.rs,80,1,0,0,2,1.0,1.0,inf,match self {
21,src/ser/mod.rs,83,1,0,0,2,1.0,1.0,inf,"ErrorKind::KeyNotString => ""map key was not a string"".fmt(formatter),"
22,src/ser/mod.rs,86,1,0,0,2,1.0,1.0,inf,}
23,src/easy/map.rs,32,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new() -> Self {
24,src/easy/map.rs,33,1,2,0,0,0.5,0.5773502691896258,0.5,Map {
25,src/easy/map.rs,36,1,2,0,0,0.5,0.5773502691896258,0.5,}
26,src/easy/map.rs,99,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn insert(&mut self, k: String, v: Value) -> Option<Value> {"
27,src/easy/map.rs,100,1,2,0,0,0.5,0.5773502691896258,0.5,"self.map.insert(k, v)"
28,src/easy/map.rs,101,1,2,0,0,0.5,0.5773502691896258,0.5,}
29,src/easy/value.rs,47,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn try_from<T>(value: T) -> Result<Value, crate::TomlError>"
30,src/easy/value.rs,51,1,2,0,0,0.5,0.5773502691896258,0.5,let item = super::ser::to_item(&value)?;
31,src/easy/value.rs,54,1,2,0,0,0.5,0.5773502691896258,0.5,}
32,src/ser/item.rs,18,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new() -> Self {
33,src/ser/item.rs,19,1,2,0,0,0.5,0.5773502691896258,0.5,Self {}
34,src/ser/item.rs,20,1,2,0,0,0.5,0.5773502691896258,0.5,}
35,src/ser/item.rs,174,1,2,0,0,0.5,0.5773502691896258,0.5,"fn serialize_map(self, len: Option<usize>) -> Result<Self::SerializeMap, Self::Error> {"
36,src/ser/item.rs,175,1,2,0,0,0.5,0.5773502691896258,0.5,let serializer = match len {
37,src/ser/item.rs,176,1,2,0,0,0.5,0.5773502691896258,0.5,"Some(len) => super::SerializeItemTable::with_capacity(len),"
38,src/ser/item.rs,179,1,2,0,0,0.5,0.5773502691896258,0.5,Ok(serializer)
39,src/ser/item.rs,180,1,2,0,0,0.5,0.5773502691896258,0.5,}
40,src/ser/mod.rs,172,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn to_item<T: ?Sized>(value: &T) -> Result<crate::Item, Error>"
41,src/ser/mod.rs,176,1,2,0,0,0.5,0.5773502691896258,0.5,let item = value.serialize(Serializer::new())?;
42,src/ser/mod.rs,178,1,2,0,0,0.5,0.5773502691896258,0.5,}
43,src/ser/table.rs,15,1,2,0,0,0.5,0.5773502691896258,0.5,pub(crate) fn with_capacity(len: usize) -> Self {
44,src/ser/table.rs,16,1,2,0,0,0.5,0.5773502691896258,0.5,Self {
45,src/ser/table.rs,19,1,2,0,0,0.5,0.5773502691896258,0.5,}
46,src/ser/table.rs,26,1,2,0,0,0.5,0.5773502691896258,0.5,"fn serialize_key<T: ?Sized>(&mut self, input: &T) -> Result<(), Self::Error>"
47,src/ser/table.rs,30,1,2,0,0,0.5,0.5773502691896258,0.5,self.inner.serialize_key(input)
48,src/ser/table.rs,31,1,2,0,0,0.5,0.5773502691896258,0.5,}
49,src/ser/table.rs,79,1,2,0,0,0.5,0.5773502691896258,0.5,pub(crate) fn new() -> Self {
50,src/ser/table.rs,80,1,2,0,0,0.5,0.5773502691896258,0.5,Self {
51,src/ser/table.rs,84,1,2,0,0,0.5,0.5773502691896258,0.5,}
52,src/ser/table.rs,86,1,2,0,0,0.5,0.5773502691896258,0.5,pub(crate) fn with_capacity(len: usize) -> Self {
53,src/ser/table.rs,87,1,2,0,0,0.5,0.5773502691896258,0.5,let mut s = Self::new();
54,src/ser/table.rs,88,1,2,0,0,0.5,0.5773502691896258,0.5,s.items.reserve(len);
55,src/ser/table.rs,89,1,2,0,0,0.5,0.5773502691896258,0.5,s
56,src/ser/table.rs,90,1,2,0,0,0.5,0.5773502691896258,0.5,}
57,src/ser/table.rs,97,1,2,0,0,0.5,0.5773502691896258,0.5,"fn serialize_key<T: ?Sized>(&mut self, input: &T) -> Result<(), Self::Error>"
58,src/ser/table.rs,101,1,2,0,0,0.5,0.5773502691896258,0.5,self.key = None;
59,src/ser/table.rs,102,1,2,0,0,0.5,0.5773502691896258,0.5,self.key = Some(input.serialize(KeySerializer)?);
60,src/ser/table.rs,104,1,2,0,0,0.5,0.5773502691896258,0.5,}
61,src/array.rs,40,0,0,1,2,0.0,0.0,0.0,pub fn new() -> Self {
62,src/array.rs,41,0,0,1,2,0.0,0.0,0.0,Default::default()
63,src/array.rs,42,0,0,1,2,0.0,0.0,0.0,}
64,src/array.rs,44,0,1,1,1,0.0,0.0,0.0,pub(crate) fn with_vec(values: Vec<Item>) -> Self {
65,src/array.rs,45,0,1,1,1,0.0,0.0,0.0,Self {
66,src/array.rs,49,0,1,1,1,0.0,0.0,0.0,}
67,src/array.rs,55,0,0,1,2,0.0,0.0,0.0,pub fn fmt(&mut self) {
68,src/array.rs,56,0,0,1,2,0.0,0.0,0.0,decorate_array(self);
69,src/array.rs,57,0,0,1,2,0.0,0.0,0.0,}
70,src/array.rs,60,0,1,1,1,0.0,0.0,0.0,"pub fn set_trailing_comma(&mut self, yes: bool) {"
71,src/array.rs,61,0,1,1,1,0.0,0.0,0.0,self.trailing_comma = yes;
72,src/array.rs,62,0,1,1,1,0.0,0.0,0.0,}
73,src/array.rs,65,0,1,1,1,0.0,0.0,0.0,pub fn trailing_comma(&self) -> bool {
74,src/array.rs,66,0,1,1,1,0.0,0.0,0.0,self.trailing_comma
75,src/array.rs,67,0,1,1,1,0.0,0.0,0.0,}
76,src/array.rs,70,0,1,1,1,0.0,0.0,0.0,"pub fn set_trailing(&mut self, trailing: &str) {"
77,src/array.rs,71,0,1,1,1,0.0,0.0,0.0,self.trailing = InternalString::from(trailing);
78,src/array.rs,72,0,1,1,1,0.0,0.0,0.0,}
79,src/array.rs,75,0,1,1,1,0.0,0.0,0.0,pub fn trailing(&self) -> &str {
80,src/array.rs,76,0,1,1,1,0.0,0.0,0.0,self.trailing.as_str()
81,src/array.rs,77,0,1,1,1,0.0,0.0,0.0,}
82,src/array.rs,80,0,1,1,1,0.0,0.0,0.0,pub fn decor_mut(&mut self) -> &mut Decor {
83,src/array.rs,81,0,1,1,1,0.0,0.0,0.0,&mut self.decor
84,src/array.rs,82,0,1,1,1,0.0,0.0,0.0,}
85,src/array.rs,85,0,1,1,1,0.0,0.0,0.0,pub fn decor(&self) -> &Decor {
86,src/array.rs,86,0,1,1,1,0.0,0.0,0.0,&self.decor
87,src/array.rs,87,0,1,1,1,0.0,0.0,0.0,}
88,src/array.rs,92,0,1,1,1,0.0,0.0,0.0,pub fn iter(&self) -> ArrayIter<'_> {
89,src/array.rs,93,0,1,1,1,0.0,0.0,0.0,Box::new(self.values.iter().filter_map(Item::as_value))
90,src/array.rs,94,0,1,1,1,0.0,0.0,0.0,}
91,src/array.rs,97,0,1,1,1,0.0,0.0,0.0,pub fn iter_mut(&mut self) -> ArrayIterMut<'_> {
92,src/array.rs,98,0,1,1,1,0.0,0.0,0.0,Box::new(self.values.iter_mut().filter_map(Item::as_value_mut))
93,src/array.rs,99,0,1,1,1,0.0,0.0,0.0,}
94,src/array.rs,114,0,1,1,1,0.0,0.0,0.0,pub fn len(&self) -> usize {
95,src/array.rs,115,0,1,1,1,0.0,0.0,0.0,self.values.len()
96,src/array.rs,116,0,1,1,1,0.0,0.0,0.0,}
97,src/array.rs,130,0,1,1,1,0.0,0.0,0.0,pub fn is_empty(&self) -> bool {
98,src/array.rs,131,0,1,1,1,0.0,0.0,0.0,self.len() == 0
99,src/array.rs,132,0,1,1,1,0.0,0.0,0.0,}
